Jugador;País;Posc;Equipo;Liga;Edad;PJ;PG;PE;PP;Puntosjugador;Pts;Titular;Suplente;Mín;90 s;Gls;GC;Ass;G-TP;T.Penalti;Penal.Anotado;TA;TR;xG;xAG;Avances;Pases.Peligrosos;Pases.Recibidos;Valor Mercado (millones de e);Salario semanal;Salario anual;Dis;G/T;G-xG;Posesion;Regates;RegatesExt;RegExitosos%;DesafiosDef;DesafExt%;DisBloq;Intercep;Despejes;onG;onGC;Dentro-Fuera;Dentro-Fuera_xG
Cameron Archer;ENG;DL;Sheffield Utd;PremierLeague;22;29;3;7;28;0,48;16;21;8;1832;20,4;4;104;1;4;0;0;1;0;5,5;2,8;33;15;114;15;30000;1560000;0;;0;35,8;61;30;49,2;18;44,4;3;1;11;22;50;0,95;0,27
Fermin López;ESP;CC;Barcelona;LaLiga;20;31;26;7;5;2,29;85;14;17;1446;16,1;8;44;0;8;0;0;2;0;7,5;1,1;42;76;93;;;;51;0,16;0,5;64,3;38;22;57,9;40;35;1;4;9;31;15;0,13;-0,33
Javi López;ESP;DF;Alavés;LaLiga;21;32;12;10;16;1,31;46;25;7;2386;26,5;1;46;3;1;0;0;3;0;0,9;3;53;92;120;1,5;3077;160000;18;0,06;0,1;41,8;74;41;55,4;26;57,7;9;10;77;29;28;1;0,53
Unai López;ESP;CC;Rayo Vallecano;LaLiga;27;35;8;14;16;1,06;38;28;7;2108;23,4;1;48;2;1;0;0;8;0;1,1;2,5;32;116;59;3;10385;540000;32;0,03;-0,1;49,4;39;22;56,4;53;39,6;3;16;15;19;28;0,3;0,01
Caoimhín Kelleher;IRL;PO;Liverpool;PremierLeague;24;10;24;10;4;2,6;82;10;0;900;10;0;41;0;0;0;0;0;0;0;0;0;1;0;20;10000;520000;0;;0;61,3;0;0;;0;;0;0;4;26;11;0,43;0,58
Dion Lopy;SEN;CC;Almería;LaLiga;21;30;3;12;23;0,37;21;23;7;1916;21,3;0;75;0;0;0;0;5;0;1,3;1,2;23;90;19;6;9231;480000;23;0;-1,3;46,4;48;29;60,4;44;38,6;5;15;22;20;44;-0,65;-0,22
Carl Starfelt;SWE;DF;Celta Vigo;LaLiga;28;27;10;11;17;1;41;26;1;2216;24,6;1;57;0;1;0;0;4;0;1,4;0,2;5;38;1;5;21154;1100000;12;0,08;-0,4;46,1;1;0;0;28;67,9;28;34;159;27;38;-0,45;-0,15
Ørjan Nyland;NOR;PO;Sevilla;LaLiga;32;24;10;11;17;1,38;41;24;0;2160;24;0;54;0;0;0;0;1;0;0;0,4;0;0;1;1,8;11538;600000;0;;0;50,3;0;0;;1;0;0;0;9;33;27;1,11;0,22
Lucas;BRA;DF;Cádiz;LaLiga;22;28;6;15;17;0,75;33;15;13;1539;17,1;1;55;0;1;0;0;6;0;0,8;1,9;30;47;65;;;;11;0,09;0,2;43,3;32;15;46,9;55;58,2;4;17;45;7;33;-1,38;-0,47
Carles Pérez;ESP;CC;Celta Vigo;LaLiga;25;16;10;11;17;1,38;41;7;9;772;8,6;1;57;1;1;0;0;3;0;1,2;1,3;34;18;66;5;49231;2560000;24;0,04;-0,2;46,1;37;14;37,8;18;38,9;1;5;8;13;12;0,52;0,78
José Luis Gayà;ESP;DF;Valencia;LaLiga;28;24;13;10;15;1,46;49;22;2;1791;19,9;1;45;2;1;0;0;2;0;0,5;2,6;41;72;97;;112115;5830000;10;0,1;0,5;44,3;18;8;44,4;67;64,2;3;11;42;24;23;0,38;0,3
Dodi Lukebakio;BEL;DL;Sevilla;LaLiga;25;23;10;11;17;1,17;41;12;11;1125;12,5;5;54;1;5;0;0;0;0;5,6;0,7;48;26;116;;57692;3000000;42;0,12;-0,6;50,3;62;30;48,4;6;16,7;2;2;5;18;20;0;0,29
Jesús Navas;ESP;DF;Sevilla;LaLiga;37;29;10;11;17;1,14;41;25;4;2003;22,3;0;54;2;0;0;0;6;1;0,1;1,9;54;103;141;2;84615;4400000;7;0;-0,1;50,3;20;13;65;40;55;7;22;48;30;32;0,16;-0,27
Darwin Machís;VEN;CC;Cádiz;LaLiga;30;21;6;15;17;0,76;33;10;11;785;8,7;4;55;0;3;1;1;0;1;1,4;0,7;20;15;54;2;27885;1450000;20;0,15;2,6;43,3;17;6;35,3;24;54,2;1;4;2;12;13;0,84;0,17
Gonzalo Montiel;ARG;DF;Nott'ham Forest;PremierLeague;26;14;9;9;20;1,29;32;8;6;801;8,9;0;67;2;0;0;0;5;0;0,1;1,4;9;28;32;9;25000;1300000;3;0;-0,1;40,6;1;1;100;29;55,2;3;9;31;13;11;0,91;0,46
Pablo Maffeo;ESP;DF;Mallorca;LaLiga;26;22;8;16;14;0,95;40;17;5;1454;16,2;1;44;2;1;0;0;3;1;0,8;0,9;38;41;68;8;18846;980000;11;0,09;0,2;45;35;16;45,7;40;57,5;2;10;23;18;21;0,18;-0,04
Jon Magunazelaia;ESP;DL;Real Sociedad;LaLiga;23;5;16;12;10;1,4;60;1;4;121;1,3;0;39;0;0;0;0;0;0;0,3;0,5;2;2;10;;;;4;0;-0,3;55,3;5;2;40;8;50;0;0;2;3;0;1,99;1,94
Carlos Neva;ESP;DF;Granada;LaLiga;27;36;4;9;25;0,56;21;36;0;3146;35;0;79;2;0;0;0;4;0;0,1;3,2;43;111;98;2,5;7308;380000;4;0;-0,1;45,6;19;7;36,8;40;42,5;14;30;108;34;66;2,04;0,96
Carlos Romero;ESP;DF;Villarreal;LaLiga;21;7;14;11;13;1,86;53;2;5;262;2,9;0;65;0;0;0;0;1;0;0,4;0;6;6;21;;8654;450000;2;0;-0,4;49,6;6;3;50;12;58,3;0;1;11;3;8;-1,86;-0,71
Wilson Manafá;POR;DF;Granada;LaLiga;29;4;4;9;25;0,25;21;3;1;240;2,7;0;79;0;0;0;0;1;0;0;0,3;5;4;6;2;11923;620000;1;0;0;45,6;9;6;66,7;7;57,1;0;1;4;1;6;-0,86;-0,29
Carlos Vicente;ESP;DL;Alavés;LaLiga;24;18;12;10;16;1,67;46;12;6;1114;12,4;2;46;4;2;0;0;1;0;2,3;3,7;23;23;82;;8654;450000;15;0,13;-0,3;41,8;39;15;38,5;25;40;0;4;9;17;13;0,87;0,37
Reinildo Mandava;MOZ;DF;Atlético Madrid;LaLiga;29;16;24;4;10;2,13;76;7;9;731;8,1;2;43;1;2;0;0;2;0;0,9;0,6;10;36;17;4;15385;800000;5;0,4;1,1;50,8;17;8;47,1;22;86,4;2;15;21;17;11;0,04;0,5
Kike Salas;ESP;DF;Sevilla;LaLiga;21;23;10;11;17;0,96;41;19;4;1605;17,8;3;54;0;3;0;0;10;0;0,8;0,5;11;61;16;5;6923;360000;16;0,19;2,2;50,3;8;0;0;36;61,1;14;26;91;24;28;-0,13;-0,19
Javier Manquillo;ESP;DF;Celta Vigo;LaLiga;29;12;10;11;17;1,83;41;10;2;744;8,3;0;57;1;0;0;0;3;0;0,1;0,2;5;25;16;;21923;1140000;1;0;-0,1;46,1;8;4;50;15;53,3;3;3;17;13;12;0,52;-0,11
Carlton Morris;ENG;DL;Luton Town;PremierLeague;27;38;6;8;24;0,68;26;32;6;2862;31,8;11;85;4;6;5;5;4;0;11,4;2,8;37;56;120;8;10000;520000;66;0,09;-0,4;42,4;55;31;56,4;15;60;5;1;53;40;72;-0,84;-0,29
Faitout Maouassa;FRA;DF;Granada;LaLiga;25;6;4;9;25;0,67;21;2;4;229;2,5;0;79;1;0;0;0;0;0;0,2;0,5;8;6;15;1;8077;420000;5;0;-0,2;45,6;4;1;25;5;80;0;1;3;4;8;-0,53;0,11
Juanlu Sánchez;ESP;DF;Sevilla;LaLiga;19;26;10;11;17;1,12;41;11;15;1181;13,1;0;54;2;0;0;0;2;0;0,9;1,1;42;50;112;6;4808;250000;11;0;-0,9;50,3;51;25;49;58;58,6;7;12;36;13;20;-0,57;0,16
Marcão;BRA;DF;Sevilla;LaLiga;27;7;10;11;17;1;41;3;4;355;3,9;0;54;0;0;0;0;2;0;0;0,2;3;12;0;;84231;4380000;0;;0;50,3;3;1;33,3;10;60;6;4;11;5;8;-0,67;0,08
Carney Chukwuemeka;ENG;CC;Chelsea;PremierLeague;19;9;18;9;11;1,56;63;2;7;227;2,5;1;63;1;1;0;0;2;0;0,2;0,3;4;12;19;15;100000;5200000;3;0,33;0,8;58,6;12;2;16,7;3;33,3;1;0;1;7;5;0,45;-0,13
Casemiro;BRA;CC;Manchester Utd;PremierLeague;31;25;18;6;14;1,6;60;24;1;1982;22;1;58;2;1;0;0;7;0;3,5;1;12;112;36;20;350000;18200000;39;0,03;-2,5;50,6;18;9;50;106;48,1;33;18;71;36;34;0,28;0
Mariano;DOM;DL;Sevilla;LaLiga;29;9;10;11;17;0,33;41;2;7;244;2,7;0;54;0;0;0;0;1;0;1,2;0,1;3;6;17;;100192;5210000;14;0;-1,2;50,3;2;1;50;1;0;0;0;2;4;7;-1,02;0,1
Rafa Marín;ESP;DF;Alavés;LaLiga;21;33;12;10;16;1,18;46;27;6;2443;27,1;0;46;0;0;0;0;6;0;0,7;0,3;13;77;6;5;2885;150000;13;0;-0,7;41,8;5;3;60;27;51,9;21;33;129;23;36;-0,76;-0,56
Óliver Torres;ESP;CC;Sevilla;LaLiga;28;27;10;11;17;1,22;41;18;9;1616;18;0;54;1;0;0;0;3;0;0,5;2,2;40;96;110;6;44231;2300000;9;0;-0,5;50,3;24;11;45,8;57;38,6;4;6;6;20;17;0,62;0,31
Djibril Sow;SUI;CC;Sevilla;LaLiga;26;24;10;11;17;1;41;18;6;1460;16,2;1;54;1;1;0;0;6;0;1,5;0,8;25;73;45;17;80192;4170000;18;0,06;-0,5;50,3;8;5;62,5;25;36;3;17;8;18;21;-0,05;0,09
Roger Martí;ESP;DL;Cádiz;LaLiga;32;23;6;15;17;0,96;33;18;5;1359;15,1;2;55;3;2;0;0;3;0;2,8;2,9;7;19;64;2;20769;1080000;33;0,06;-0,8;43,3;10;3;30;7;28,6;1;7;4;15;19;0,83;0,29
César Montes;MEX;DF;Almería;LaLiga;26;21;3;12;23;0,57;21;21;0;1788;19,9;0;75;0;0;0;0;5;0;0,7;0,2;7;52;2;8;21154;1100000;13;0;-0,7;46,4;3;3;100;18;50;9;11;94;17;40;-0,66;-0,04
Lucas Ocampos;ARG;DL;Sevilla;LaLiga;29;35;10;11;17;0,97;41;34;1;2871;31,9;4;54;3;3;1;1;8;0;5,4;4,5;117;124;265;12;32692;1700000;63;0,05;-1,4;50,3;130;48;36,9;58;50;1;21;29;37;42;0,01;0,21
Cesare Casadei;ITA;DL;Chelsea;PremierLeague;20;11;18;9;11;1,91;63;0;11;79;0,9;0;63;0;0;0;0;0;0;0;0,1;1;3;3;;7500;390000;0;;0;58,6;2;2;100;5;40;0;0;4;2;3;-1,54;-2,71
Marvin;ESP;DL;Las Palmas;LaLiga;23;31;10;10;18;1,19;40;17;14;1855;20,6;0;47;2;0;0;0;5;0;0,9;2,5;60;36;177;;;;14;0;-0,9;59,2;47;19;40,4;36;50;2;14;18;15;25;-0,26;0,32
Charlie Taylor;ENG;DF;Burnley;PremierLeague;29;28;5;9;24;0,75;24;25;3;2331;25,9;1;78;1;1;0;0;8;0;0,2;1,2;36;82;81;3;30000;1560000;10;0,1;0,8;47,4;17;9;52,9;35;48,6;11;19;78;31;46;1,24;0,31
Omar Mascarell;EQG;CC;Mallorca;LaLiga;30;29;8;16;14;1,07;40;18;11;1571;17,5;0;44;0;0;0;0;8;1;0,4;0;12;67;11;1;15769;820000;6;0;-0,4;45;10;8;80;35;51,4;8;31;30;10;21;-0,63;0,44
Rafa Mir;ESP;DL;Sevilla;LaLiga;26;15;10;11;17;0,93;41;3;12;391;4,3;2;54;0;2;0;0;1;0;1,4;0,3;3;2;16;3;36538;1900000;15;0,13;0,6;50,3;6;2;33,3;2;50;0;1;1;5;4;0,44;0,16
Jaime Mata;ESP;DL;Getafe;LaLiga;34;35;10;13;15;1,23;43;22;13;1787;19,9;5;54;1;5;0;0;10;1;5,6;1,5;16;19;138;0,8;41154;2140000;32;0,16;-0,6;44,8;15;8;53,3;26;42,3;1;17;31;25;30;0,13;-0,05
Cheick Doucouré;MLI;CC;Crystal Palace;PremierLeague;23;11;13;10;15;1,27;49;11;0;919;10,2;0;58;0;0;0;0;2;0;0,3;0,7;9;49;5;18;60000;3120000;6;0;-0,3;42,3;13;10;76,9;30;60;2;20;12;9;12;-0,37;-0,14
Luís Maximiano;POR;PO;Almería;LaLiga;24;33;3;12;23;0,52;21;33;0;2970;33;0;75;0;0;0;0;1;0;0;0;0;0;0;4;40000;2080000;0;;0;46,4;3;3;100;1;0;0;0;19;32;63;-0,74;0,15
Iván Villar;ESP;PO;Celta Vigo;LaLiga;26;12;10;11;17;1;41;12;0;1014;11,3;0;57;0;0;0;0;0;2;0;0,1;0;0;0;1;6154;320000;0;;0;46,1;0;0;;1;0;0;0;6;15;19;-0,09;0,12
Cheikhou Kouyaté;SEN;CC;Nott'ham Forest;PremierLeague;33;12;9;9;20;1,33;32;2;10;212;2,4;0;67;0;0;0;0;2;0;0,3;0;0;5;5;;45000;2340000;5;0;-0,3;40,6;2;1;50;4;25;1;2;10;1;6;-1,76;-1,95
Mamadou Mbaye;SEN;DF;Cádiz;LaLiga;25;4;6;15;17;0,75;33;2;2;288;3,2;0;55;0;0;0;0;2;0;0,3;0;0;4;0;0,5;;;2;0;-0,3;43,3;0;0;;5;40;7;5;26;2;5;-0,19;-0,95
Chiedozie Ogbene;IRL;CC;Luton Town;PremierLeague;26;30;6;8;24;0,73;26;20;10;1995;22,2;4;85;1;4;0;0;1;0;4,2;3,1;127;53;150;8;15000;780000;35;0,11;-0,2;42,4;121;61;50,4;22;54,5;3;7;34;35;47;0,78;0,63
Hannibal Mejbri;TUN;CC;Manchester Utd;PremierLeague;20;5;18;6;14;1,67;60;1;5;133;1,5;1;58;0;1;0;0;1;0;0;0,4;2;6;10;;;;1;1;1;50,6;5;2;40;1;0;0;0;0;2;2;0,16;0,09
Chris Basham;ENG;DF;Sheffield Utd;PremierLeague;35;8;3;7;28;0,13;16;3;5;321;3,6;0;104;0;0;0;0;1;0;0,1;0,3;1;7;6;0,3;15000;780000;2;0;-0,1;35,8;4;3;75;9;22,2;4;5;17;2;6;0,77;-0,11
Óscar Melendo;ESP;CC;Granada;LaLiga;25;26;4;9;25;0,31;21;15;11;1122;12,5;0;79;0;0;0;0;2;0;0,4;0,5;21;38;33;1;20000;1040000;6;0;-0,4;45,6;23;11;47,8;12;33,3;0;5;4;12;23;0,29;0,08
Kevin Vázquez;ESP;DF;Celta Vigo;LaLiga;30;12;10;11;17;0,67;41;10;2;700;7,8;0;57;0;0;0;0;3;0;0;0,2;6;28;20;1;11538;600000;2;0;0;46,1;9;3;33,3;21;57,1;3;5;25;9;13;-0,28;-0,38
Gonzalo Melero;ESP;CC;Almería;LaLiga;29;28;3;12;23;0,64;21;10;18;1103;12,3;1;75;1;1;0;0;3;0;2;1,2;23;49;33;3;10385;540000;14;0,07;-1;46,4;18;7;38,9;19;36,8;4;4;11;17;27;0,04;0,52
Chris Mepham;WAL;DF;Bournemouth;PremierLeague;25;10;13;9;16;1,6;48;6;4;617;6,9;0;67;1;0;0;0;2;0;0,1;0,4;4;25;1;8;35000;1820000;1;0;-0,1;44,4;0;0;;14;64,3;6;7;30;13;16;-0,12;0,47
Memphis;NED;DL;Atlético Madrid;LaLiga;29;23;24;4;10;1,74;76;9;14;893;9,9;5;43;1;5;0;0;2;0;5,8;1,8;16;27;82;;168269;8750000;38;0,13;-0,8;50,8;37;18;48,6;6;50;0;1;0;16;14;-0,69;0,01
Houboulang Mendes;GNB;DF;Almería;LaLiga;25;7;3;12;23;0;21;4;3;396;4,4;0;75;0;0;0;0;0;0;0;0;5;9;6;1;7885;410000;1;0;0;46,4;7;2;28,6;16;50;2;1;17;4;11;-0,85;-0,97
Chris Ramos;ESP;DL;Cádiz;LaLiga;26;37;6;15;17;0,89;33;30;7;2612;29;5;55;1;5;0;0;5;0;10,1;1,7;31;28;102;3;6154;320000;76;0,07;-5,1;43,3;69;18;26,1;27;29,6;7;9;44;22;36;1,19;0,47
Chris Richards;USA;DF;Crystal Palace;PremierLeague;23;26;13;10;15;1,46;49;23;3;2094;23,3;1;58;1;1;0;0;3;0;0,6;0,4;1;43;1;10;55000;2860000;11;0,09;0,4;42,3;1;1;100;30;66,7;12;27;109;43;38;0,62;0,08
Christian Eriksen;DEN;CC;Manchester Utd;PremierLeague;31;22;18;6;14;1,45;60;12;10;1141;12,7;1;58;2;1;0;0;1;0;1;2,3;20;68;23;8;150000;7800000;13;0,08;0;50,6;6;3;50;33;36,4;6;4;13;20;27;-0,79;0,39
Christian Nørgaard;DEN;CC;Brentford;PremierLeague;29;31;10;9;19;0,97;39;30;1;2505;27,8;2;65;1;2;0;0;8;0;3,5;1,9;15;161;42;16;35000;1820000;35;0,06;-1,5;45,2;11;6;54,5;87;36,8;6;54;50;36;51;-1,13;-0,62
Jorge Meré;ESP;DF;Cádiz;LaLiga;26;10;6;15;17;0,8;33;8;2;673;7,5;0;55;0;0;0;0;0;0;0,2;0;2;15;0;;19231;1000000;4;0;-0,2;43,3;1;1;100;7;57,1;3;8;33;6;12;-0,05;-0,1
Manu Sánchez;ESP;DF;Celta Vigo;LaLiga;22;26;10;11;17;0,92;41;20;6;1775;19,7;0;57;5;0;0;0;3;0;0,5;2,7;41;74;67;4;19231;1000000;9;0;-0,5;46,1;28;11;39,3;55;56,4;3;19;65;18;28;-0,45;-0,54
Omenuke Mfulu;COD;CC;Las Palmas;LaLiga;29;5;10;10;18;0,83;40;1;4;82;0,9;0;47;0;0;0;0;1;0;0;0;1;1;0;0,8;6923;360000;0;;0;59,2;1;1;100;1;0;1;2;5;1;3;-1,87;-2,38
Luis Milla;ESP;CC;Getafe;LaLiga;28;27;10;13;15;1,07;43;25;2;2115;23,5;0;54;1;0;0;0;6;0;0,6;1,7;31;121;35;2,5;15000;780000;16;0;-0,6;44,8;34;11;32,4;47;59,6;1;32;10;26;36;-0,29;0,49
Jørgen Strand Larsen;NOR;DL;Celta Vigo;LaLiga;23;37;10;11;17;1,11;41;36;1;2863;31,8;13;57;3;13;0;0;5;0;14,5;2,5;33;25;183;20;10577;550000;82;0,16;-1,5;46,1;74;29;39,2;38;21,1;1;5;17;36;35;1,97;1,22
Ignasi Miquel;ESP;DF;Granada;LaLiga;30;34;4;9;25;0,59;21;33;1;2992;33,2;1;79;1;1;0;0;5;0;1,4;1,2;8;83;8;1;21923;1140000;22;0,05;-0,4;45,6;16;8;50;40;57,5;16;45;132;32;67;0,21;-0,03
Connor Roberts;WAL;DF;Burnley;PremierLeague;27;14;5;9;24;0,64;24;8;6;823;9,1;0;78;1;0;0;0;5;1;0;0,2;6;38;13;3;30000;1560000;0;;0;47,4;2;0;0;17;47,1;6;4;25;7;22;-0,88;-0,5
Conor Bradley;NIR;DF;Liverpool;PremierLeague;20;11;24;10;4;2,36;82;10;1;753;8,4;1;41;3;1;0;0;2;0;0,9;1,5;35;29;64;;10000;520000;12;0,08;0,1;61,3;30;13;43,3;38;63,2;1;10;14;18;7;0,17;0,32
Johan Mojica;COL;DF;Osasuna;LaLiga;30;30;12;9;17;1,17;45;22;8;2041;22,7;0;56;3;0;0;0;1;0;1;2,6;57;82;117;2,5;21154;1100000;17;0;-1;47,5;45;17;37,8;25;64;2;21;40;26;35;-0,27;-0,28
Hugo Sotelo;ESP;CC;Celta Vigo;LaLiga;19;17;10;11;17;0,88;41;8;9;721;8;0;57;1;0;0;0;1;0;0,3;1,6;16;55;13;1,5;2308;120000;8;0;-0,3;46,1;14;9;64,3;20;40;1;2;5;7;16;-1,06;0,35
Jon Moncayola;ESP;CC;Osasuna;LaLiga;25;33;12;9;17;1,21;45;21;12;1800;20;1;56;3;1;0;0;2;1;0,6;2,3;14;99;46;9;19231;1000000;16;0,06;0,4;47,5;12;6;50;42;40,5;5;15;21;24;30;-0,02;-0,45
Craig Dawson;ENG;DF;Wolves;PremierLeague;33;25;13;7;18;1,4;46;25;0;2209;24,5;1;65;1;1;0;0;7;0;1,5;1,4;1;49;4;2;45000;2340000;16;0,06;-0,5;48,9;3;3;100;34;64,7;39;16;120;33;38;0,54;0,75
Ilaix Moriba;GUI;CC;Getafe;LaLiga;20;14;10;13;15;0,93;43;8;6;605;6,7;0;54;2;0;0;0;5;1;0,3;0,6;8;21;19;;31154;1620000;4;0;-0,3;44,8;14;4;28,6;9;44,4;1;4;10;8;13;-0,52;0,1
Manu Morlanes;ESP;CC;Mallorca;LaLiga;24;35;8;16;14;1,11;40;16;19;1615;17,9;0;44;2;0;0;0;2;0;1;2;29;104;31;5;25192;1310000;11;0;-1;45;29;21;72,4;53;43,4;1;20;21;15;23;-0,3;-0,16
Yerson Mosquera;COL;DF;Villarreal;LaLiga;22;16;14;11;13;2;53;14;2;1229;13,7;2;65;1;2;0;0;4;0;1,6;0,3;8;36;12;2;10769;560000;10;0,2;0,4;49,6;10;4;40;15;80;2;17;65;31;17;1,6;0,46
Daiki Hashioka;JPN;DF;Luton Town;PremierLeague;24;10;6;8;24;0,4;26;6;4;595;6,6;0;85;0;0;0;0;0;0;0,1;0,7;3;21;16;;15000;780000;2;0;-0,1;42,4;2;1;50;11;45,5;7;8;20;10;21;-0,96;0,22
Iker Muñoz;ESP;CC;Osasuna;LaLiga;20;28;12;9;17;1,32;45;20;8;1854;20,6;4;56;0;4;0;0;5;0;1,1;0,2;17;80;23;;3462;180000;23;0,17;2,9;47,5;19;5;26,3;31;48,4;5;11;50;28;26;0,84;0,46
Daley Sinkgraven;NED;DF;Las Palmas;LaLiga;28;10;10;10;18;;40;6;4;374;4,2;0;47;0;0;0;0;0;1;0;0;3;17;8;0,8;28846;1500000;0;;0;59,2;3;0;0;8;25;3;6;9;2;7;-0,94;-0,41
Javier Muñoz;ESP;CC;Las Palmas;LaLiga;28;37;10;10;18;1,05;40;30;7;2640;29,3;2;47;3;2;0;0;6;0;2,5;1,4;33;122;126;;13846;720000;38;0,05;-0,5;59,2;35;14;40;44;36,4;4;20;29;26;36;0,12;-1,01
Damián Rodríguez;ESP;CC;Celta Vigo;LaLiga;20;5;10;11;17;1,8;41;3;2;258;2,9;0;57;2;0;0;0;1;0;0;0,8;2;9;4;;;;1;0;0;46,1;0;0;;3;33,3;2;1;2;6;4;1,07;1,14
Vedat Muriqi;KVX;DL;Mallorca;LaLiga;29;29;8;16;14;1;40;25;4;2327;25,9;7;44;2;6;1;3;5;0;10,4;2,6;20;40;134;12;88077;4580000;62;0,1;-3,4;45;27;13;48,1;14;14,3;4;6;26;23;32;-0,18;-0,18
Damián Suárez;URU;DF;Getafe;LaLiga;35;16;10;13;15;1,12;43;15;1;1299;14,4;0;54;2;0;0;0;7;1;0,3;0,8;20;58;47;0,8;11923;620000;4;0;-0,3;44,8;21;9;42,9;45;57,8;3;10;31;20;24;0,06;-0,32
Nacho;ESP;DF;Real Madrid;LaLiga;33;29;29;8;1;2,41;95;18;11;1746;19,4;0;26;1;0;0;0;4;2;0,5;1,2;13;55;9;;220385;11460000;5;0;-0,5;59,2;6;2;33,3;13;46,2;13;18;56;41;8;0,2;-0,08
Dan Burn;ENG;DF;Newcastle Utd;PremierLeague;31;33;18;6;14;1,64;60;32;1;2726;30,3;2;62;2;2;0;0;4;0;3,1;1,1;14;75;25;8;55000;2860000;23;0,09;-1,1;52,2;6;4;66,7;61;42,6;25;37;124;74;45;1,74;1,04
Dane Scarlett;ENG;DL;Tottenham;PremierLeague;19;4;20;6;12;3;66;0;4;22;0,2;0;61;0;0;0;0;0;0;0;0;0;1;4;;;;0;;0;61,6;3;0;0;1;0;0;0;0;1;0;3,77;5,14
Roberto Navarro;ESP;CC;Cádiz;LaLiga;21;28;6;15;17;;33;24;0;1888;21;1;55;1;1;0;0;0;1;2,1;3,1;81;70;119;;8077;420000;30;0,03;-1,1;43,3;116;54;46,6;43;51,2;0;19;7;;;;
Dango Ouattara;BFA;DL;Bournemouth;PremierLeague;21;30;13;9;16;1,4;48;12;18;1229;13,7;1;67;2;1;0;0;3;0;2,6;1,5;47;35;90;;35000;1820000;30;0,03;-1,6;44,4;47;21;44,7;34;55,9;3;22;35;20;24;0,08;-0,06
Gonzalo Villar;ESP;CC;Granada;LaLiga;25;35;4;9;25;0,49;21;21;14;1803;20;1;79;3;1;0;0;7;0;1,9;2,2;27;74;27;2,8;29615;1540000;22;0,05;-0,9;45,6;44;23;52,3;41;63,4;10;6;26;21;41;0,17;0,09
Dani Rodríguez;ESP;CC;Mallorca;LaLiga;35;36;8;16;14;1,06;40;31;5;2615;29,1;2;44;4;2;0;0;9;0;1,4;4,1;54;118;110;1,2;8462;440000;27;0,07;0,6;45;79;33;41,8;45;46,7;5;15;21;29;34;0,5;-0,11
Tanguy Nianzou;FRA;DF;Sevilla;LaLiga;21;8;10;11;17;0,88;41;3;5;318;3,5;0;54;0;0;0;0;3;0;0;0;2;14;1;5;80192;4170000;1;0;0;50,3;2;2;100;11;72,7;0;3;9;4;10;-1,7;-0,47
Saúl Ñíguez;ESP;CC;Atlético Madrid;LaLiga;28;34;24;4;10;2,06;76;14;20;1374;15,3;1;43;4;1;0;0;10;1;1,5;3,2;21;34;43;7;230769;12000000;16;0,06;-0,5;50,8;15;8;53,3;49;61,2;9;14;56;31;16;0,45;-0,21
Daniel Bentley;ENG;PO;Wolves;PremierLeague;30;5;13;7;18;0,6;46;3;2;383;4,3;0;65;0;0;0;0;0;0;0;0;0;0;0;1,5;10000;520000;0;;0;48,9;0;0;;1;0;0;0;1;3;7;-0,61;-0,26
Randy Nteka;ANG;DL;Rayo Vallecano;LaLiga;25;16;8;14;16;0,94;38;3;13;572;6,4;1;48;1;0;1;1;3;0;2,3;0,9;12;15;35;2;4423;230000;14;0;-1,3;49,4;17;7;41,2;10;40;1;2;11;3;11;-0,91;-0,18
Unai Núñez;ESP;DF;Celta Vigo;LaLiga;26;34;10;11;17;0,97;41;31;3;2801;31,1;1;57;0;1;0;0;4;0;1,4;0,8;10;106;2;5;32692;1700000;22;0,05;-0,4;46,1;12;10;83,3;49;46,9;24;52;153;36;49;-0,71;-0,91
Myrto Uzuni;ALB;DL;Granada;LaLiga;28;34;4;9;25;0,62;21;28;6;2448;27,2;11;79;1;7;4;5;3;0;12,9;2,6;21;18;90;8;13846;720000;58;0,12;-1,9;45,6;27;13;48,1;27;22,2;3;4;7;30;53;0,82;0,53
Daniel Muñoz;COL;DF;Crystal Palace;PremierLeague;27;16;13;10;15;1,56;49;16;0;1439;16;0;58;4;0;0;0;4;0;1,2;2,4;25;38;80;;45000;2340000;8;0;-1,2;42,3;28;13;46,4;38;50;7;24;47;32;22;1,13;0,5
Daniel Parejo;ESP;CC;Villarreal;LaLiga;34;33;14;11;13;1,42;53;29;4;2580;28,7;3;65;5;0;3;3;4;0;2,9;3;11;210;28;;73077;3800000;9;0;0,1;49,6;30;19;63,3;46;43,5;9;21;29;47;54;-0,99;-0,34
Daniel Vivian;ESP;DF;Athletic Club;LaLiga;24;33;19;11;8;1,82;68;31;2;2878;32;0;37;0;0;0;0;6;0;0,6;0,7;23;123;4;;21154;1100000;11;0;-0,6;49,8;10;5;50;45;62,2;25;31;104;54;34;-0,04;1,11
Olasagasti;ESP;CC;Real Sociedad;LaLiga;22;14;16;12;10;1,21;60;2;12;360;4;0;39;0;0;0;0;3;0;0,9;0,3;8;13;12;;5769;300000;9;0;-0,9;55,3;10;7;70;8;62,5;0;3;5;6;8;-0,91;0,52
Danilo;BRA;CC;Nott'ham Forest;PremierLeague;22;29;9;9;20;1,03;32;20;9;1792;19,9;2;67;2;2;0;0;4;0;1,8;1,5;22;82;28;15;30000;1560000;23;0,09;0,2;40,6;26;17;65,4;46;45,7;8;35;42;31;42;-0,17;0,42
